     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.554 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.556 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.573 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.577 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7fa6efd8adb0, sigsetsize: 8           ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7fa6efd8ad10, sigsetsize: 8            ) = 0
     0.581 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc2c7483e8, sigsetsize: 8      ) = 0
     0.591 ([33m 0.016 ms[m): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.608 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.614 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.619 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.624 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.630 ([33m 0.011 ms[m): pesquisaOverhe/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = -2
     0.642 ([33m 0.074 ms[m): sleep/8 execve(filename: 0xefd8ad80, argv: 0x7ffc2c748690                     ) = 0
     0.731 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5619069d1000
     0.745 ( 0.004 ms): sleep/8 access(filename: 0x781854e7                                           ) = -1 ENOENT No such file or directory
     0.751 ( 0.002 ms): sleep/8 access(filename: 0x78187c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.756 ( 0.004 ms): sleep/8 open(filename: 0x78185988, flags: CLOEXEC                             ) = 3
     0.762 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc10d79d10                                  ) = 0
     0.765 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fb578387000
     0.770 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.773 ( 0.002 ms): sleep/8 access(filename: 0x781854e7                                           ) = -1 ENOENT No such file or directory
     0.777 ( 0.006 ms): sleep/8 open(filename: 0x7838dd68, flags: CLOEXEC                             ) = 3
     0.784 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffc10d79eb8, count: 832                           ) = 832
     0.788 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffc10d79d50                                  ) = 0
     0.791 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fb578385000
     0.796 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7fb577dc9000
     0.801 ( 0.005 ms): sleep/8 mprotect(start: 0x7fb577f5e000, len: 2097152                          ) = 0
     0.807 ( 0.005 ms): sleep/8 mmap(addr: 0x7fb57815e000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7fb57815e000
     0.816 ( 0.003 ms): sleep/8 mmap(addr: 0x7fb578164000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7fb578164000
     0.824 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.837 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140417382769792                        ) = 0
     0.879 ( 0.004 ms): sleep/8 mprotect(start: 0x7fb57815e000, len: 16384, prot: READ                ) = 0
     0.888 ( 0.004 ms): sleep/8 mprotect(start: 0x5619059d7000, len: 4096, prot: READ                 ) = 0
     0.895 ( 0.002 ms): sleep/8 mprotect(start: 0x7fb57838b000, len: 4096, prot: READ                 ) = 0
     0.899 ( 0.004 ms): sleep/8 munmap(addr: 0x7fb578387000, len: 13580                               ) = 0
     0.951 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5619069d1000
     0.954 ( 0.003 ms): sleep/8 brk(brk: 0x5619069f2000                                               ) = 0x5619069f2000
