         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     1.153 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x37, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.157 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x37, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.161 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.165 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x38, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.169 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x39, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.173 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x39, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.177 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3a, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.182 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.186 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.190 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3b, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.193 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3c, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.197 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3c, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.202 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3d, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.207 ( 0.009 ms): sleep/7 rt_sigaction(sig: 0x3d, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.218 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3e, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.222 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3e, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.227 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x3f, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.231 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3f, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.235 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x40, oact: 0x7f44abcdbdb0, sigsetsize: 8           ) = 0
     1.238 ( 0.002 ms): sleep/7 rt_sigaction(sig: 0x40, act: 0x7f44abcdbd10, sigsetsize: 8            ) = 0
     1.242 ( 0.002 ms): sleep/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffcf490cba8, sigsetsize: 8      ) = 0
     1.261 ([33m 0.026 ms[m): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
     1.290 ( 0.008 ms): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
     1.301 ([33m 0.013 ms[m): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
     1.317 ([33m 0.014 ms[m): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
     1.335 ( 0.007 ms): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
     1.344 ([33m 0.027 ms[m): sleep/7 execve(filename: 0xabcdbd80, argv: 0x7ffcf490ce50                     ) = -2
