         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/6 brk(                                                                  ) = 0x55ccf6aff000
     0.527 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x36, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.529 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.531 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x37, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.533 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.535 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x38, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.538 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x39, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.540 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.542 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3a, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3b, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3c, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.553 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3d, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, oact: 0x7f4aa1d0fdb0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/7 rt_sigaction(sig: 0x3e, act: 0x7f4aa1d0fd10, sigsetsize: 8            ) = 0
