         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.595 ( 0.005 ms): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
     0.601 ( 0.004 ms): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
     0.606 ( 0.004 ms): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
     0.611 ( 0.005 ms): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
     0.617 ( 0.010 ms): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) = -2
     0.216 ([33m 0.459 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     0.628 ([33m 0.049 ms[m): sleep/8 execve(filename: 0x9d284d80, argv: 0x7ffcc708abc0                     ) ...
     0.677 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.680 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffcc708a888, count: 4                             ) = 0
     0.683 ( 0.008 ms): pesquisaOverhe/7 munmap(addr: 0x7f8e9d27c000, len: 36864                               ) = 0
     0.692 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.696 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffcc708a918, sigsetsize: 8      ) = 0
     0.704 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
