     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f3f98ecfdb0, sigsetsize: 8           ) = 0
     0.565 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f3f98ecfd10, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffcb5dffa28, sigsetsize: 8      ) = 0
     0.573 ([33m 0.089 ms[m): sleep/8 execve(filename: 0xec1b6a36, argv: 0x7ffcb5dffcd0                     ) = 0
     0.675 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5646dc988000
     0.688 ( 0.003 ms): sleep/8 access(filename: 0xf020f4e7                                           ) = -1 ENOENT No such file or directory
     0.693 ( 0.003 ms): sleep/8 access(filename: 0xf0211c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.699 ( 0.004 ms): sleep/8 open(filename: 0xf020f988, flags: CLOEXEC                             ) = 3
     0.704 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffeae1a8300                                  ) = 0
     0.707 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f73f0411000
     0.711 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.715 ( 0.002 ms): sleep/8 access(filename: 0xf020f4e7                                           ) = -1 ENOENT No such file or directory
     0.719 ( 0.004 ms): sleep/8 open(filename: 0xf0417d68, flags: CLOEXEC                             ) = 3
     0.725 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffeae1a84a8, count: 832                           ) = 832
     0.729 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffeae1a8340                                  ) = 0
     0.732 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f73f040f000
     0.738 ( 0.004 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f73efe53000
     0.743 ( 0.005 ms): sleep/8 mprotect(start: 0x7f73effe8000, len: 2097152                          ) = 0
     0.749 ( 0.005 ms): sleep/8 mmap(addr: 0x7f73f01e8000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f73f01e8000
     0.757 ( 0.003 ms): sleep/8 mmap(addr: 0x7f73f01ee000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f73f01ee000
     0.766 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
