     1.055 ( 0.005 ms): sleep/8 open(filename: 0x458e2d68, flags: CLOEXEC                             ) = 3
     1.062 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffdf5be7e28, count: 832                           ) = 832
     1.065 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffdf5be7cc0                                  ) = 0
     1.068 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f18458da000
     1.074 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f184531e000
     1.079 ( 0.005 ms): sleep/8 mprotect(start: 0x7f18454b3000, len: 2097152                          ) = 0
     1.085 ( 0.005 ms): sleep/8 mmap(addr: 0x7f18456b3000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f18456b3000
     1.094 ( 0.003 ms): sleep/8 mmap(addr: 0x7f18456b9000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f18456b9000
     1.102 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     1.116 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 139742222857344                        ) = 0
     1.164 ( 0.004 ms): sleep/8 mprotect(start: 0x7f18456b3000, len: 16384, prot: READ                ) = 0
     1.173 ( 0.004 ms): sleep/8 mprotect(start: 0x55d66493b000, len: 4096, prot: READ                 ) = 0
     1.179 ( 0.003 ms): sleep/8 mprotect(start: 0x7f18458e0000, len: 4096, prot: READ                 ) = 0
     1.183 ( 0.005 ms): sleep/8 munmap(addr: 0x7f18458dc000, len: 13580                               ) = 0
     1.236 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55d66643f000
     1.239 ( 0.002 ms): sleep/8 brk(brk: 0x55d666460000                                               ) = 0x55d666460000
     1.258 ([33m 0.165 ms[m): sleep/8 nanosleep(rqtp: 0x7ffdf5be85d0                                        ) = 0
     1.432 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.435 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.441 (     ?   ): sleep/8 exit_group(                                                           )
