     0.748 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f6959eb2000
     0.752 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.756 ( 0.002 ms): sleep/8 access(filename: 0x59cb04e7                                           ) = -1 ENOENT No such file or directory
     0.761 ( 0.005 ms): sleep/8 open(filename: 0x59eb8d68, flags: CLOEXEC                             ) = 3
     0.766 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd46fa62d8, count: 832                           ) = 832
     0.770 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd46fa6170                                  ) = 0
     0.773 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f6959eb0000
     0.780 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f69598f4000
     0.784 ( 0.004 ms): sleep/8 mprotect(start: 0x7f6959a89000, len: 2097152                          ) = 0
     0.790 ( 0.005 ms): sleep/8 mmap(addr: 0x7f6959c89000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f6959c89000
     0.798 ( 0.003 ms): sleep/8 mmap(addr: 0x7f6959c8f000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f6959c8f000
     0.806 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.817 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140090456872064                        ) = 0
     0.860 ( 0.005 ms): sleep/8 mprotect(start: 0x7f6959c89000, len: 16384, prot: READ                ) = 0
     0.868 ( 0.003 ms): sleep/8 mprotect(start: 0x56122b4d3000, len: 4096, prot: READ                 ) = 0
     0.874 ( 0.003 ms): sleep/8 mprotect(start: 0x7f6959eb6000, len: 4096, prot: READ                 ) = 0
     0.878 ( 0.004 ms): sleep/8 munmap(addr: 0x7f6959eb2000, len: 13580                               ) = 0
