         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.017 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55c540ae9000
     0.533 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.535 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.537 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.539 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f9541ba8db0, sigsetsize: 8           ) = 0
     0.541 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f9541ba8d10, sigsetsize: 8            ) = 0
     0.543 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffc340c78a8, sigsetsize: 8      ) = 0
     0.551 ([33m 0.014 ms[m): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.567 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.573 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.577 ( 0.004 ms): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.583 ( 0.005 ms): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.588 ( 0.010 ms): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) = -2
     0.178 ([33m 0.470 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (pesquisaOverhea)
     0.600 ([33m 0.051 ms[m): pesquisaOverhe/8 execve(filename: 0x41ba8d80, argv: 0x7ffc340c7b50                     ) ...
     0.650 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.654 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffc340c7818, count: 4                             ) = 0
     0.656 ( 0.007 ms): pesquisaOverhe/7 munmap(addr: 0x7f9541ba0000, len: 36864                               ) = 0
     0.664 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.668 ( 0.002 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffc340c78a8, sigsetsize: 8      ) = 0
     0.674 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
     0.600 ([33m 0.082 ms[m): sleep/8  ... [[33mcontinued[m]: execve()) = 0
     0.697 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55fc0b767000
     0.710 ( 0.003 ms): sleep/8 access(filename: 0x304754e7                                           ) = -1 ENOENT No such file or directory
     0.715 ( 0.002 ms): sleep/8 access(filename: 0x30477c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.720 ( 0.004 ms): sleep/8 open(filename: 0x30475988, flags: CLOEXEC                             ) = 3
     0.724 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffdddc865e0                                  ) = 0
     0.727 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f3130677000
     0.731 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.735 ( 0.001 ms): sleep/8 access(filename: 0x304754e7                                           ) = -1 ENOENT No such file or directory
     0.739 ( 0.007 ms): sleep/8 open(filename: 0x3067dd68, flags: CLOEXEC                             ) = 3
