     0.679 ( 0.004 ms): sleep/8 access(filename: 0xf6d2e4e7                                           ) = -1 ENOENT No such file or directory
     0.684 ( 0.003 ms): sleep/8 access(filename: 0xf6d30c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.690 ( 0.003 ms): sleep/8 open(filename: 0xf6d2e988, flags: CLOEXEC                             ) = 3
     0.694 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe7d374540                                  ) = 0
     0.698 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f62f6f30000
     0.702 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.706 ( 0.002 ms): sleep/8 access(filename: 0xf6d2e4e7                                           ) = -1 ENOENT No such file or directory
     0.709 ( 0.004 ms): sleep/8 open(filename: 0xf6f36d68, flags: CLOEXEC                             ) = 3
     0.715 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffe7d3746e8, count: 832                           ) = 832
     0.719 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffe7d374580                                  ) = 0
     0.721 ( 0.003 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f62f6f2e000
     0.728 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f62f6972000
     0.732 ( 0.005 ms): sleep/8 mprotect(start: 0x7f62f6b07000, len: 2097152                          ) = 0
     0.738 ( 0.005 ms): sleep/8 mmap(addr: 0x7f62f6d07000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f62f6d07000
     0.746 ( 0.003 ms): sleep/8 mmap(addr: 0x7f62f6d0d000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f62f6d0d000
     0.754 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.767 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140063026640000                        ) = 0
