     0.738 ( 0.003 ms): sleep/8 access(filename: 0x500bf4e7                                           ) = -1 ENOENT No such file or directory
     0.744 ( 0.003 ms): sleep/8 access(filename: 0x500c1c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.751 ( 0.004 ms): sleep/8 open(filename: 0x500bf988, flags: CLOEXEC                             ) = 3
     0.756 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd73222b50                                  ) = 0
     0.759 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7efe502c1000
     0.763 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.768 ( 0.002 ms): sleep/8 access(filename: 0x500bf4e7                                           ) = -1 ENOENT No such file or directory
     0.771 ( 0.005 ms): sleep/8 open(filename: 0x502c7d68, flags: CLOEXEC                             ) = 3
     0.778 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7ffd73222cf8, count: 832                           ) = 832
     0.782 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7ffd73222b90                                  ) = 0
     0.784 ( 0.002 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7efe502bf000
     0.790 ( 0.003 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7efe4fd03000
     0.795 ( 0.005 ms): sleep/8 mprotect(start: 0x7efe4fe98000, len: 2097152                          ) = 0
     0.801 ( 0.005 ms): sleep/8 mmap(addr: 0x7efe50098000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7efe50098000
     0.809 ( 0.003 ms): sleep/8 mmap(addr: 0x7efe5009e000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7efe5009e000
     0.817 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.829 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 139630731854976                        ) = 0
     0.873 ( 0.005 ms): sleep/8 mprotect(start: 0x7efe50098000, len: 16384, prot: READ                ) = 0
     0.882 ( 0.003 ms): sleep/8 mprotect(start: 0x5645bdd44000, len: 4096, prot: READ                 ) = 0
     0.888 ( 0.003 ms): sleep/8 mprotect(start: 0x7efe502c5000, len: 4096, prot: READ                 ) = 0
     0.892 ( 0.005 ms): sleep/8 munmap(addr: 0x7efe502c1000, len: 13580                               ) = 0
     0.944 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x5645be631000
     0.946 ( 0.002 ms): sleep/8 brk(brk: 0x5645be652000                                               ) = 0x5645be652000
     0.970 ([33m 0.058 ms[m): sleep/8 nanosleep(rqtp: 0x7ffd732234a0                                        ) = 0
     1.036 ( 0.001 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.039 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.044 (     ?   ): sleep/8 exit_group(                                                           )
