         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.561 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x37, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.565 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x38, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.567 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.569 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x39, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.571 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.573 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3a, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.577 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3b, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.581 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3c, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.583 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.585 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3d, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3e, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.591 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.593 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x3f, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.595 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, oact: 0x7faf3ebf3db0, sigsetsize: 8           ) = 0
     0.597 ( 0.001 ms): sleep/8 rt_sigaction(sig: 0x40, act: 0x7faf3ebf3d10, sigsetsize: 8            ) = 0
     0.599 ( 0.001 ms): sleep/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe6dd6d748, sigsetsize: 8      ) = 0
     0.192 ([33m 0.474 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     0.606 ([33m 0.062 ms[m): sleep/8 execve(filename: 0x289e8a36, argv: 0x7ffe6dd6d9f0                     ) ...
     0.668 ( 0.001 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     0.672 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffe6dd6d6b8, count: 4                             ) = 0
     0.675 ( 0.005 ms): pesquisaOverhe/7 munmap(addr: 0x7faf3ebeb000, len: 36864                               ) = 0
     0.681 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     0.686 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffe6dd6d748, sigsetsize: 8      ) = 0
     0.694 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
