         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.024 ( 0.002 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55699b5f8000
     0.583 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.594 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.596 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.602 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.604 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.607 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.609 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.610 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.612 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.614 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.615 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.617 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.618 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.620 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.621 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
     0.623 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7fb5299cfdb0, sigsetsize: 8           ) = 0
     0.625 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7fb5299cfd10, sigsetsize: 8            ) = 0
