         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.025 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55b6399bf000
     0.542 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.544 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2d, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.546 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.548 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2e, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.550 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.552 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x2f, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.555 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.557 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x30, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.559 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.560 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x31, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.562 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x32, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.568 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x33, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.570 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.572 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x34, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.576 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x35, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.578 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.580 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x36, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.582 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.584 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x37, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x38, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.591 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.593 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x39, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.595 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.597 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3a, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.599 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.601 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3b, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.603 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.605 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3c, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.607 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.609 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3d, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.611 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.613 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3e, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.614 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.616 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x3f, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.618 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, oact: 0x7f6215deddb0, sigsetsize: 8           ) = 0
     0.620 ( 0.001 ms): pesquisaOverhe/8 rt_sigaction(sig: 0x40, act: 0x7f6215dedd10, sigsetsize: 8            ) = 0
     0.622 ( 0.001 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7fff0137d838, sigsetsize: 8      ) = 0
     0.629 ([33m 0.085 ms[m): sleep/8 execve(filename: 0x38c7da36, argv: 0x7fff0137dae0                     ) = 0
     0.727 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55bd8f770000
     0.740 ( 0.004 ms): sleep/8 access(filename: 0x5e2fe4e7                                           ) = -1 ENOENT No such file or directory
     0.745 ( 0.003 ms): sleep/8 access(filename: 0x5e300c70, mode: R                                  ) = -1 ENOENT No such file or directory
     0.751 ( 0.004 ms): sleep/8 open(filename: 0x5e2fe988, flags: CLOEXEC                             ) = 3
     0.756 ( 0.002 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fff13eba3e0                                  ) = 0
     0.759 ( 0.003 ms): sleep/8 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7fd15e500000
     0.763 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.767 ( 0.002 ms): sleep/8 access(filename: 0x5e2fe4e7                                           ) = -1 ENOENT No such file or directory
     0.771 ( 0.005 ms): sleep/8 open(filename: 0x5e506d68, flags: CLOEXEC                             ) = 3
     0.777 ( 0.002 ms): sleep/8 read(fd: 3, buf: 0x7fff13eba588, count: 832                           ) = 832
     0.780 ( 0.001 ms): sleep/8 fstat(fd: 3, statbuf: 0x7fff13eba420                                  ) = 0
     0.784 ( 0.004 ms): sleep/8 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7fd15e4fe000
