         ? (     ?   ): pesquisaOverhe/6  ... [[33mcontinued[m]: execve()) = 0
     0.446 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x23, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.448 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.450 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x24, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.452 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.454 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x25, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.456 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.457 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x26, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.459 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.461 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x27, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.463 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.465 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x28, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.467 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.469 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x29, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.471 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.473 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2a, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.475 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.477 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2b, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.479 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.481 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2c, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.483 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.486 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2d, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.488 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.490 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2e, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.492 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.494 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x2f, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.496 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.498 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x30, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.500 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.502 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x31, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.504 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.506 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x32, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.508 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.510 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x33, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.512 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.514 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x34, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.516 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.518 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x35, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.520 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.522 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x36, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.524 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.526 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x37, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.528 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.530 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x38, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.532 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.534 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x39, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.536 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.539 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3a, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.541 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.543 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3b, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.545 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.547 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3c, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.549 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.551 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3d, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
     0.553 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, oact: 0x7f109a773db0, sigsetsize: 8           ) = 0
     0.555 ( 0.001 ms): sleep/7 rt_sigaction(sig: 0x3e, act: 0x7f109a773d10, sigsetsize: 8            ) = 0
