         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55d52c105000
     0.559 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.561 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x38, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.563 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.564 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x39, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.566 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.567 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3a, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.569 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.571 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3b, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.572 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.574 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3c, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.575 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.577 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3d, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.579 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.580 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3e, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.582 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.583 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x3f, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.585 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, oact: 0x7f1bb02eedb0, sigsetsize: 8           ) = 0
     0.587 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x40, act: 0x7f1bb02eed10, sigsetsize: 8            ) = 0
     0.589 ( 0.001 ms): pesquisaOverhe/9 rt_sigprocmask(how: SETMASK, nset: 0x7ffe6e16f978, sigsetsize: 8      ) = 0
     0.603 ([33m 0.751 ms[m): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     1.363 ([33m 0.012 ms[m): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     1.376 ( 0.004 ms): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     1.382 ( 0.009 ms): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     1.392 ( 0.004 ms): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     1.398 ([33m 0.017 ms[m): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) = -2
     0.198 ([31m 1.297 ms[m): pesquisaOverhe/8  ... [[33mcontinued[m]: clone()) = 9 (pesquisaOverhea)
     1.416 ([33m 0.081 ms[m): pesquisaOverhe/9 execve(filename: 0xb02eed80, argv: 0x7ffe6e16fc20                     ) ...
     1.497 ( 0.001 ms): pesquisaOverhe/8 close(fd: 4                                                           ) = 0
     1.501 ( 0.002 ms): pesquisaOverhe/8 read(fd: 3, buf: 0x7ffe6e16f8e8, count: 4                             ) = 0
     1.504 ( 0.009 ms): pesquisaOverhe/8 munmap(addr: 0x7f1bb02e6000, len: 36864                               ) = 0
     1.514 ( 0.001 ms): pesquisaOverhe/8 close(fd: 3                                                           ) = 0
     1.520 ( 0.002 ms): pesquisaOverhe/8 rt_sigprocmask(how: SETMASK, nset: 0x7ffe6e16f978, sigsetsize: 8      ) = 0
     1.530 (     ?   ): pesquisaOverhe/8 exit_group(                                                           )
     1.416 ([33m 0.121 ms[m): sleep/9  ... [[33mcontinued[m]: execve()) = 0
     1.552 ( 0.001 ms): sleep/9 brk(                                                                  ) = 0x55f0a3b08000
     1.567 ( 0.005 ms): sleep/9 access(filename: 0x54cb74e7                                           ) = -1 ENOENT No such file or directory
     1.576 ( 0.002 ms): sleep/9 access(filename: 0x54cb9c70, mode: R                                  ) = -1 ENOENT No such file or directory
     1.582 ( 0.004 ms): sleep/9 open(filename: 0x54cb7988, flags: CLOEXEC                             ) = 3
     1.587 ( 0.002 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffcead098a0                                  ) = 0
     1.591 ( 0.003 ms): sleep/9 mmap(len: 13580, prot: READ, flags: PRIVATE, fd: 3                    ) = 0x7f8454eb9000
     1.595 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     1.599 ( 0.002 ms): sleep/9 access(filename: 0x54cb74e7                                           ) = -1 ENOENT No such file or directory
     1.603 ( 0.005 ms): sleep/9 open(filename: 0x54ebfd68, flags: CLOEXEC                             ) = 3
     1.609 ( 0.002 ms): sleep/9 read(fd: 3, buf: 0x7ffcead09a48, count: 832                           ) = 832
     1.613 ( 0.001 ms): sleep/9 fstat(fd: 3, statbuf: 0x7ffcead098e0                                  ) = 0
     1.616 ( 0.002 ms): sleep/9 mmap(len: 8192, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS, fd: -1    ) = 0x7f8454eb7000
     1.621 ( 0.003 ms): sleep/9 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f84548fb000
     1.625 ( 0.004 ms): sleep/9 mprotect(start: 0x7f8454a90000, len: 2097152                          ) = 0
     1.631 ( 0.005 ms): sleep/9 mmap(addr: 0x7f8454c90000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f8454c90000
     1.639 ( 0.003 ms): sleep/9 mmap(addr: 0x7f8454c96000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f8454c96000
     1.647 ( 0.001 ms): sleep/9 close(fd: 3                                                           ) = 0
     1.658 ( 0.001 ms): sleep/9 arch_prctl(option: 4098, arg2: 140206337131648                        ) = 0
     1.705 ( 0.004 ms): sleep/9 mprotect(start: 0x7f8454c90000, len: 16384, prot: READ                ) = 0
     1.713 ( 0.003 ms): sleep/9 mprotect(start: 0x55f0a2094000, len: 4096, prot: READ                 ) = 0
     1.719 ( 0.002 ms): sleep/9 mprotect(start: 0x7f8454ebd000, len: 4096, prot: READ                 ) = 0
     1.723 ( 0.004 ms): sleep/9 munmap(addr: 0x7f8454eb9000, len: 13580                               ) = 0
     1.773 ( 0.003 ms): sleep/9 brk(                                                                  ) = 0x55f0a3b08000
     1.777 ( 0.004 ms): sleep/9 brk(brk: 0x55f0a3b29000                                               ) = 0x55f0a3b29000
