         ? (     ?   ): pesquisaOverhe/8  ... [[33mcontinued[m]: execve()) = 0
     0.019 ( 0.001 ms): pesquisaOverhe/8 brk(                                                                  ) = 0x55fabd628000
     2.452 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.455 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x24, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.457 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.459 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x25, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.461 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.463 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x26, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.465 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.467 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x27, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.470 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.472 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x28, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.474 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.477 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x29, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.479 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.481 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2a, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.483 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.486 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2b, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.488 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.490 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2c, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.492 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.495 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2d, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.497 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.499 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2e, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.501 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
     2.503 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x2f, act: 0x7f2f9470dd10, sigsetsize: 8            ) = 0
     2.505 ( 0.001 ms): pesquisaOverhe/9 rt_sigaction(sig: 0x30, oact: 0x7f2f9470ddb0, sigsetsize: 8           ) = 0
