         ? (     ?   ): pesquisaOverhe/7  ... [[33mcontinued[m]: execve()) = 0
     0.020 ( 0.001 ms): pesquisaOverhe/7 brk(                                                                  ) = 0x55ac38871000
     0.862 ( 0.004 ms): sleep/8 mmap(len: 3795296, prot: EXEC|READ, flags: PRIVATE|DENYWRITE, fd: 3   ) = 0x7f6e64554000
     0.867 ( 0.005 ms): sleep/8 mprotect(start: 0x7f6e646e9000, len: 2097152                          ) = 0
     0.873 ( 0.005 ms): sleep/8 mmap(addr: 0x7f6e648e9000, len: 24576, prot: READ|WRITE, flags: PRIVATE|DENYWRITE|FIXED, fd: 3, off: 1658880) = 0x7f6e648e9000
     0.882 ( 0.003 ms): sleep/8 mmap(addr: 0x7f6e648ef000, len: 14688, prot: READ|WRITE, flags: PRIVATE|ANONYMOUS|FIXED, fd: -1) = 0x7f6e648ef000
     0.890 ( 0.001 ms): sleep/8 close(fd: 3                                                           ) = 0
     0.903 ( 0.001 ms): sleep/8 arch_prctl(option: 4098, arg2: 140112112456832                        ) = 0
     0.947 ( 0.005 ms): sleep/8 mprotect(start: 0x7f6e648e9000, len: 16384, prot: READ                ) = 0
     0.956 ( 0.003 ms): sleep/8 mprotect(start: 0x55555f60c000, len: 4096, prot: READ                 ) = 0
     0.961 ( 0.003 ms): sleep/8 mprotect(start: 0x7f6e64b16000, len: 4096, prot: READ                 ) = 0
     0.965 ( 0.004 ms): sleep/8 munmap(addr: 0x7f6e64b12000, len: 13580                               ) = 0
     1.042 ( 0.001 ms): sleep/8 brk(                                                                  ) = 0x55555f6bf000
     1.045 ( 0.002 ms): sleep/8 brk(brk: 0x55555f6e0000                                               ) = 0x55555f6e0000
     0.234 ([33m 0.899 ms[m): pesquisaOverhe/7  ... [[33mcontinued[m]: clone()) = 8 (sleep)
     1.067 ([33m 0.068 ms[m): sleep/8 nanosleep(rqtp: 0x7fffe1a354a0                                        ) ...
     1.135 ( 0.002 ms): pesquisaOverhe/7 close(fd: 4                                                           ) = 0
     1.139 ( 0.001 ms): pesquisaOverhe/7 read(fd: 3, buf: 0x7ffd110cade8, count: 4                             ) = 0
     1.142 ( 0.006 ms): pesquisaOverhe/7 munmap(addr: 0x7f80585ec000, len: 36864                               ) = 0
     1.149 ( 0.001 ms): pesquisaOverhe/7 close(fd: 3                                                           ) = 0
     1.153 ( 0.001 ms): pesquisaOverhe/7 rt_sigprocmask(how: SETMASK, nset: 0x7ffd110cae78, sigsetsize: 8      ) = 0
     1.163 (     ?   ): pesquisaOverhe/7 exit_group(                                                           )
     1.067 ([33m 0.158 ms[m): sleep/8  ... [[33mcontinued[m]: nanosleep()) = 0
     1.234 ( 0.002 ms): sleep/8 close(fd: 1                                                           ) = 0
     1.238 ( 0.001 ms): sleep/8 close(fd: 2                                                           ) = 0
     1.243 (     ?   ): sleep/8 exit_group(                                                           )
