execve("./fileOverhead", ["./fileOverhead", "fork", "100"], [/* 4 vars */])                                             = 0 <0.000381>
[pid     8] close(26)                                                                                                   = 0 <0.000054>
[pid     7] close(30 <unfinished ...>
[pid     8] close(27 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000071>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000079>
[pid     7] close(31 <unfinished ...>
[pid     8] close(28 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000061>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000072>
[pid     7] close(32)                                                                                                   = 0 <0.000059>
[pid     7] close(33 <unfinished ...>
[pid     8] close(29 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000070>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000069>
[pid     7] close(34)                                                                                                   = 0 <0.000046>
[pid     7] close(35 <unfinished ...>
[pid     8] close(30 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000081>
[pid     7] close(36 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000157>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000074>
[pid     7] close(37)                                                                                                   = 0 <0.000045>
[pid     8] close(31 <unfinished ...>
[pid     7] close(38 <unfinished ...>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000054>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000046>
[pid     8] close(32 <unfinished ...>
[pid     7] close(39)                                                                                                   = 0 <0.000043>
[pid     7] close(40)                                                                                                   = 0 <0.000055>
[pid     7] close(41)                                                                                                   = 0 <0.000056>
[pid     7] close(42)                                                                                                   = 0 <0.000053>
[pid     7] close(43)                                                                                                   = 0 <0.000042>
[pid     7] close(44)                                                                                                   = 0 <0.000029>
[pid     7] close(45)                                                                                                   = 0 <0.000032>
[pid     7] close(46)                                                                                                   = 0 <0.000043>
[pid     7] close(47)                                                                                                   = 0 <0.000083>
[pid     7] close(48)                                                                                                   = 0 <0.000042>
[pid     7] close(49)                                                                                                   = 0 <0.000047>
[pid     7] close(50)                                                                                                   = 0 <0.000044>
[pid     7] close(51)                                                                                                   = 0 <0.000041>
[pid     7] close(52)                                                                                                   = 0 <0.000050>
[pid     7] close(53)                                                                                                   = 0 <0.000045>
[pid     7] close(54)                                                                                                   = 0 <0.000231>
[pid     7] close(55)                                                                                                   = 0 <0.000043>
[pid     8] <... close resumed> )                                                                                       = 0 <0.002548>
[pid     7] close(56 <unfinished ...>
[pid     8] close(33 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000085>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000099>
[pid     7] close(57 <unfinished ...>
[pid     8] close(34 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000048>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000065>
[pid     7] close(58 <unfinished ...>
[pid     8] close(35 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000076>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000069>
[pid     7] close(59 <unfinished ...>
[pid     8] close(36 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000070>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000065>
[pid     7] close(60 <unfinished ...>
[pid     8] close(37 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000065>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000072>
[pid     7] close(61 <unfinished ...>
[pid     8] close(38 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000117>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000136>
[pid     7] close(62 <unfinished ...>
[pid     8] close(39 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000064>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000081>
[pid     7] close(63 <unfinished ...>
[pid     8] close(40 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000071>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000067>
[pid     7] close(64 <unfinished ...>
[pid     8] close(41 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000061>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000068>
[pid     7] close(65 <unfinished ...>
[pid     8] close(42 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000068>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000119>
[pid     7] close(66 <unfinished ...>
[pid     8] close(43 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000062>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000067>
[pid     7] close(67 <unfinished ...>
[pid     8] close(44 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000251>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000098>
[pid     7] close(68 <unfinished ...>
[pid     8] close(45 <unfinished ...>
[pid     7] <... close resumed> )                                                                                       = 0 <0.000090>
[pid     8] <... close resumed> )                                                                                       = 0 <0.000096>
